order_month,orders,mean_quantity,total_revenue,avg_order_price,hour
0,1,2,3.0,105.25,52.62,2015-01-01 11:00:00
1,1,7,2.43,263.25,37.61,2015-01-01 12:00:00
2,1,10,3.3,577.2,57.72,2015-01-01 13:00:00
3,1,7,2.14,246.0,35.14,2015-01-01 14:00:00
4,1,7,2.0,230.25,32.89,2015-01-01 15:00:00
5,1,4,2.25,152.5,38.12,2015-01-01 16:00:00
6,1,8,2.25,288.15,36.02,2015-01-01 17:00:00
7,1,8,2.25,330.0,41.25,2015-01-01 18:00:00
8,1,6,2.17,209.5,34.92,2015-01-01 19:00:00
9,1,5,1.6,132.75,26.55,2015-01-01 20:00:00
10,1,2,3.0,84.25,42.12,2015-01-01 21:00:00
11,1,3,1.67,94.75,31.58,2015-01-01 22:00:00
12,1,7,3.43,376.4,53.77,2015-01-02 11:00:00
13,1,6,1.67,151.5,25.25,2015-01-02 12:00:00
14,1,6,1.17,139.15,23.19,2015-01-02 13:00:00
15,1,6,3.0,315.4,52.57,2015-01-02 14:00:00
16,1,6,2.33,256.95,42.82,2015-01-02 15:00:00
17,1,11,2.64,453.25,41.2,2015-01-02 16:00:00
18,1,15,2.13,564.65,37.64,2015-01-02 17:00:00
19,1,8,1.62,203.5,25.44,2015-01-02 18:00:00
20,1,8,1.75,234.15,29.27,2015-01-02 19:00:00
21,1,7,2.14,241.25,34.46,2015-01-02 20:00:00
22,1,3,2.0,104.75,34.92,2015-01-02 21:00:00
23,1,4,2.25,148.25,37.06,2015-01-02 22:00:00
24,1,2,1.0,25.25,12.62,2015-01-03 11:00:00
25,1,5,2.4,208.7,41.74,2015-01-03 12:00:00
26,1,1,4.0,57.75,57.75,2015-01-03 13:00:00
27,1,6,1.83,166.5,27.75,2015-01-03 14:00:00
28,1,4,2.5,162.5,40.62,2015-01-03 15:00:00
29,1,1,2.0,30.45,30.45,2015-01-03 16:00:00
30,1,7,2.14,240.75,34.39,2015-01-03 17:00:00
31,1,8,2.0,264.5,33.06,2015-01-03 18:00:00
32,1,7,1.71,197.75,28.25,2015-01-03 19:00:00
33,1,3,2.33,116.15,38.72,2015-01-03 20:00:00
34,1,1,1.0,20.25,20.25,2015-01-03 21:00:00
35,1,4,1.75,108.0,27.0,2015-01-03 22:00:00
36,1,3,1.67,76.25,25.42,2015-01-04 11:00:00
37,1,14,2.36,571.15,40.8,2015-01-04 12:00:00
38,1,6,2.17,192.0,32.0,2015-01-04 13:00:00
39,1,4,2.5,153.0,38.25,2015-01-04 14:00:00
40,1,5,2.2,190.75,38.15,2015-01-04 15:00:00
41,1,5,1.8,138.5,27.7,2015-01-04 16:00:00
42,1,7,1.57,151.25,21.61,2015-01-04 17:00:00
43,1,4,1.5,115.5,28.88,2015-01-04 18:00:00
44,1,11,2.09,374.45,34.04,2015-01-04 19:00:00
45,1,2,2.5,79.5,39.75,2015-01-04 20:00:00
46,1,3,1.33,62.0,20.67,2015-01-04 21:00:00
47,1,3,1.67,72.5,24.17,2015-01-04 22:00:00
48,1,5,2.4,202.7,40.54,2015-01-05 11:00:00
49,1,14,1.86,455.9,32.56,2015-01-05 12:00:00
50,1,8,1.62,233.0,29.12,2015-01-05 13:00:00
51,1,4,2.25,125.0,31.25,2015-01-05 14:00:00
52,1,2,2.0,66.75,33.38,2015-01-05 15:00:00
53,1,7,2.0,222.25,31.75,2015-01-05 16:00:00
54,1,8,2.0,290.5,36.31,2015-01-05 17:00:00
55,1,3,2.33,99.25,33.08,2015-01-05 18:00:00
56,1,10,2.3,389.45,38.94,2015-01-05 19:00:00
57,1,5,2.2,178.9,35.78,2015-01-05 20:00:00
58,1,6,2.17,216.0,36.0,2015-01-05 21:00:00
59,1,3,2.0,92.25,30.75,2015-01-05 22:00:00
60,1,10,1.2,196.95,19.7,2015-01-06 11:00:00
61,1,10,4.6,764.85,76.48,2015-01-06 12:00:00
62,1,6,1.83,195.5,32.58,2015-01-06 13:00:00
63,1,7,2.57,301.3,43.04,2015-01-06 14:00:00
64,1,10,2.5,428.1,42.81,2015-01-06 15:00:00
65,1,5,1.6,123.25,24.65,2015-01-06 16:00:00
66,1,4,3.5,247.5,61.88,2015-01-06 17:00:00
67,1,7,3.14,342.65,48.95,2015-01-06 18:00:00
68,1,6,2.33,247.4,41.23,2015-01-06 19:00:00
69,1,4,1.25,66.75,16.69,2015-01-06 20:00:00
70,1,3,3.0,153.5,51.17,2015-01-06 21:00:00
71,1,6,2.0,197.25,32.88,2015-01-07 11:00:00
72,1,5,1.2,94.5,18.9,2015-01-07 12:00:00
73,1,9,2.78,407.25,45.25,2015-01-07 13:00:00
74,1,2,1.5,59.45,29.72,2015-01-07 14:00:00
75,1,5,2.0,165.5,33.1,2015-01-07 15:00:00
76,1,8,1.62,223.45,27.93,2015-01-07 16:00:00
77,1,10,2.6,393.95,39.39,2015-01-07 17:00:00
78,1,9,2.33,354.25,39.36,2015-01-07 18:00:00
79,1,5,1.8,141.2,28.24,2015-01-07 19:00:00
80,1,5,1.8,148.95,29.79,2015-01-07 20:00:00
81,1,2,1.5,45.75,22.88,2015-01-07 21:00:00
82,1,2,2.5,73.25,36.62,2015-01-08 11:00:00
83,1,3,1.33,69.75,23.25,2015-01-08 12:00:00
84,1,9,1.56,224.7,24.97,2015-01-08 13:00:00
85,1,5,4.2,353.4,70.68,2015-01-08 14:00:00
86,1,5,1.8,156.2,31.24,2015-01-08 15:00:00
87,1,7,2.29,224.5,32.07,2015-01-08 16:00:00
88,1,6,2.17,205.75,34.29,2015-01-08 17:00:00
89,1,14,1.86,410.5,29.32,2015-01-08 18:00:00
90,1,7,1.86,206.75,29.54,2015-01-08 19:00:00
91,1,8,2.12,258.0,32.25,2015-01-08 20:00:00
92,1,4,2.0,130.75,32.69,2015-01-08 21:00:00
93,1,4,2.0,127.0,31.75,2015-01-08 22:00:00
94,1,5,2.0,195.5,39.1,2015-01-09 11:00:00
95,1,8,3.75,480.5,60.06,2015-01-09 12:00:00
96,1,12,2.17,384.75,32.06,2015-01-09 13:00:00
97,1,5,1.8,178.5,35.7,2015-01-09 14:00:00
98,1,3,2.0,99.7,33.23,2015-01-09 15:00:00
99,1,5,1.8,132.75,26.55,2015-01-09 16:00:00
100,1,6,2.83,282.75,47.12,2015-01-09 17:00:00
101,1,5,2.4,176.5,35.3,2015-01-09 18:00:00
102,1,3,2.0,94.9,31.63,2015-01-09 19:00:00
103,1,6,2.83,266.25,44.38,2015-01-09 20:00:00
104,1,2,1.0,31.75,15.88,2015-01-09 21:00:00
105,1,1,2.0,29.0,29.0,2015-01-09 22:00:00
106,1,3,1.67,89.5,29.83,2015-01-10 11:00:00
107,1,11,4.09,729.0,66.27,2015-01-10 12:00:00
108,1,13,1.92,427.4,32.88,2015-01-10 13:00:00
109,1,9,1.89,270.25,30.03,2015-01-10 14:00:00
110,1,6,2.0,172.75,28.79,2015-01-10 15:00:00
111,1,4,2.5,189.25,47.31,2015-01-10 16:00:00
112,1,10,2.3,369.75,36.98,2015-01-10 17:00:00
113,1,13,2.62,559.2,43.02,2015-01-10 18:00:00
114,1,6,2.0,206.45,34.41,2015-01-10 19:00:00
115,1,5,1.2,102.0,20.4,2015-01-10 20:00:00
116,1,3,1.33,70.6,23.53,2015-01-10 21:00:00
117,1,1,1.0,16.0,16.0,2015-01-10 22:00:00
118,1,1,1.0,16.75,16.75,2015-01-11 11:00:00
119,1,6,2.5,229.95,38.32,2015-01-11 12:00:00
120,1,5,3.6,298.25,59.65,2015-01-11 13:00:00
121,1,2,2.0,66.5,33.25,2015-01-11 14:00:00
122,1,6,2.0,189.0,31.5,2015-01-11 15:00:00
123,1,4,1.75,112.2,28.05,2015-01-11 16:00:00
124,1,6,2.17,213.75,35.62,2015-01-11 17:00:00
125,1,11,2.27,384.0,34.91,2015-01-11 18:00:00
126,1,6,1.5,136.25,22.71,2015-01-11 19:00:00
127,1,2,2.0,60.75,30.38,2015-01-11 20:00:00
128,1,3,2.33,132.75,44.25,2015-01-11 21:00:00
129,1,3,3.0,146.5,48.83,2015-01-11 22:00:00
130,1,5,2.2,163.75,32.75,2015-01-12 11:00:00
131,1,11,2.18,396.6,36.05,2015-01-12 12:00:00
